Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion,ot1,ot2,ot3
1,neutral,8,550,3,21,1.81528996663825,0.332225913621262,0.875,-0.0495073771488337,-0.261228738993946,0.112436199085566
1,neutral,9,600,5,18,1.21302263984585,0.235872235872236,0.782608695652174,3.29785379996619e-17,-0.272586510254553,0
1,neutral,10,650,6,18,1.04596855518269,0.207900207900208,0.75,0.0495073771488337,-0.261228738993946,-0.112436199085566
1,neutral,11,700,5,17,1.15745278869104,0.238961038961039,0.772727272727273,0.0990147542976674,-0.227155425212127,-0.208810084016051
1,neutral,12,750,4,15,1.23676262714893,0.28673835125448,0.789473684210526,0.148522131446501,-0.170366568909095,-0.273059340636375
1,neutral,13,800,6,15,0.86903784702361,0.218362282878412,0.714285714285714,0.198029508595335,-0.090862170084851,-0.289121654791456
1,neutral,14,850,6,18,1.04596855518269,0.207900207900208,0.75,0.247536885744169,0.0113577712606064,-0.240934712326213
1,neutral,15,900,6,17,0.990398704027877,0.210989010989011,0.739130434782609,0.297044262893002,0.136293255127276,-0.112436199085566
1,neutral,16,950,8,15,0.60077386042893,0.182163187855787,0.652173913043478,0.346551640041836,0.283944281515159,0.112436199085566
1,neutral,17,1000,8,15,0.60077386042893,0.182163187855787,0.652173913043478,0.39605901719067,0.454310850424255,0.449744796342265
2,facilitating,1,200,24,9,-0.947381318944186,0.146079484425349,0.272727272727273,-0.39605901719067,0.454310850424255,-0.449744796342265
2,facilitating,2,250,24,9,-0.947381318944186,0.146079484425349,0.272727272727273,-0.346551640041836,0.283944281515159,-0.112436199085566
2,facilitating,3,300,22,9,-0.862223510603879,0.149707602339181,0.290322580645161,-0.297044262893002,0.136293255127276,0.112436199085566
2,facilitating,4,350,22,9,-0.862223510603879,0.149707602339181,0.290322580645161,-0.247536885744169,0.0113577712606063,0.240934712326213
2,facilitating,5,400,21,10,-0.716677677970139,0.141749723145072,0.32258064516129,-0.198029508595335,-0.090862170084851,0.289121654791456
2,facilitating,6,450,21,12,-0.542324290825362,0.126511627906977,0.363636363636364,-0.148522131446501,-0.170366568909095,0.273059340636375
2,facilitating,7,500,18,13,-0.315081046639895,0.128128128128128,0.419354838709677,-0.0990147542976674,-0.227155425212127,0.208810084016052
2,facilitating,8,550,15,15,0,0.129032258064516,0.5,-0.0495073771488337,-0.261228738993946,0.112436199085566
2,facilitating,9,600,12,20,0.494696241836107,0.128780487804878,0.625,3.29785379996619e-17,-0.272586510254553,0
2,facilitating,10,650,7,22,1.09861228866811,0.177777777777778,0.758620689655172,0.0495073771488337,-0.261228738993946,-0.112436199085566
2,facilitating,11,700,6,27,1.44238382777093,0.19020979020979,0.818181818181818,0.0990147542976674,-0.227155425212127,-0.208810084016051
2,facilitating,12,750,6,27,1.44238382777093,0.19020979020979,0.818181818181818,0.148522131446501,-0.170366568909095,-0.273059340636375
2,facilitating,13,800,6,27,1.44238382777093,0.19020979020979,0.818181818181818,0.198029508595335,-0.090862170084851,-0.289121654791456
2,facilitating,14,850,5,26,1.57239664075375,0.219554030874786,0.838709677419355,0.247536885744169,0.0113577712606064,-0.240934712326213
2,facilitating,15,900,6,26,1.40534255609059,0.191582002902758,0.8125,0.297044262893002,0.136293255127276,-0.112436199085566
2,facilitating,16,950,6,27,1.44238382777093,0.19020979020979,0.818181818181818,0.346551640041836,0.283944281515159,0.112436199085566
2,facilitating,17,1000,6,27,1.44238382777093,0.19020979020979,0.818181818181818,0.39605901719067,0.454310850424255,0.449744796342265
2,neutral,1,200,24,6,-1.32687094064909,0.194662480376766,0.2,-0.39605901719067,0.454310850424255,-0.449744796342265
2,neutral,2,250,24,6,-1.32687094064909,0.194662480376766,0.2,-0.346551640041836,0.283944281515159,-0.112436199085566
2,neutral,3,300,24,6,-1.32687094064909,0.194662480376766,0.2,-0.297044262893002,0.136293255127276,0.112436199085566
2,neutral,4,350,24,6,-1.32687094064909,0.194662480376766,0.2,-0.247536885744169,0.0113577712606063,0.240934712326213
2,neutral,5,400,24,6,-1.32687094064909,0.194662480376766,0.2,-0.198029508595335,-0.090862170084851,0.289121654791456
2,neutral,6,450,23,6,-1.28519824424852,0.196399345335516,0.206896551724138,-0.148522131446501,-0.170366568909095,0.273059340636375
2,neutral,7,500,21,7,-1.05314991459135,0.17984496124031,0.25,-0.0990147542976674,-0.227155425212127,0.208810084016052
2,neutral,8,550,21,9,-0.816761136527122,0.151774785801714,0.3,-0.0495073771488337,-0.261228738993946,0.112436199085566
2,neutral,9,600,17,9,-0.610909082322973,0.162406015037594,0.346153846153846,3.29785379996619e-17,-0.272586510254553,0
2,neutral,10,650,13,12,-0.0769610411361283,0.154074074074074,0.48,0.0495073771488337,-0.261228738993946,-0.112436199085566
2,neutral,11,700,10,15,0.389464766761723,0.159754224270353,0.6,0.0990147542976674,-0.227155425212127,-0.208810084016051
2,neutral,12,750,10,17,0.510825623765991,0.152380952380952,0.62962962962963,0.148522131446501,-0.170366568909095,-0.273059340636375
2,neutral,13,800,9,21,0.816761136527122,0.151774785801714,0.7,0.198029508595335,-0.090862170084851,-0.289121654791456
2,neutral,14,850,8,21,0.927986771637346,0.164158686730506,0.724137931034483,0.247536885744169,0.0113577712606064,-0.240934712326213
2,neutral,15,900,6,23,1.28519824424852,0.196399345335516,0.793103448275862,0.297044262893002,0.136293255127276,-0.112436199085566
2,neutral,16,950,5,24,1.49392502531226,0.222634508348794,0.827586206896552,0.346551640041836,0.283944281515159,0.112436199085566
2,neutral,17,1000,0,27,4.00733318523247,2.03636363636364,1,0.39605901719067,0.454310850424255,0.449744796342265
4,facilitating,1,200,21,24,0.130620182417064,0.087327954437589,0.533333333333333,-0.39605901719067,0.454310850424255,-0.449744796342265
4,facilitating,2,250,21,24,0.130620182417064,0.087327954437589,0.533333333333333,-0.346551640041836,0.283944281515159,-0.112436199085566
4,facilitating,3,300,21,24,0.130620182417064,0.087327954437589,0.533333333333333,-0.297044262893002,0.136293255127276,0.112436199085566
4,facilitating,4,350,19,24,0.22825865198098,0.0920983778126635,0.558139534883721,-0.247536885744169,0.0113577712606063,0.240934712326213
4,facilitating,5,400,17,24,0.336472236621213,0.0979591836734694,0.585365853658537,-0.198029508595335,-0.090862170084851,0.289121654791456
4,facilitating,6,450,15,26,0.536304709066976,0.102251978088862,0.634146341463415,-0.148522131446501,-0.170366568909095,0.273059340636375
4,facilitating,7,500,15,28,0.609064063349404,0.0996038483305037,0.651162790697674,-0.0990147542976674,-0.227155425212127,0.208810084016052
4,facilitating,8,550,14,30,0.743578034186837,0.101752402487281,0.681818181818182,-0.0495073771488337,-0.261228738993946,0.112436199085566
