"Subj","Block","TrialNo","TargetWord","ImageL","ImageR","TargetImage","DistractorImage","Audio","StimType","BlockOrder"
"07","Block2",25,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_B_Ball_faci","facilitating",1
"07","Block2",26,"cat","cat2","car2","ImageL","ImageR","See_hi_the_V_Cat_neut","filler",1
"07","Block2",27,"duck","ball2","duck2","ImageR","ImageL","Fin_hi_the_V_Duck_neut","neutral",1
"07","Block2",28,"ball","ball1","duck1","ImageL","ImageR","See_hi_the_B_Ball_faci","facilitating",1
"07","Block2",29,"cup","cup2","sock2","ImageL","ImageR","Fin_hi_the_V_Cup_neut","filler",1
"07","Block2",30,"dog","dog4","book4","ImageL","ImageR","Fin_hi_the_V_Dog_neut","neutral",1
"07","Block2",31,"book","book2","dog2","ImageL","ImageR","Fin_lo_the_B_Book_faci","facilitating",1
"07","Block2",32,"cookie","shoe2","cookie2","ImageR","ImageL","Whe_lo_the_V_Cookie_neut","filler",1
"07","Block2",33,"duck","ball2","duck2","ImageR","ImageL","See_hi_the_D_Duck_faci","facilitating",1
"07","Block2",34,"dog","book1","dog1","ImageR","ImageL","See_lo_the_V_Dog_neut","neutral",1
"07","Block2",35,"sock","cup1","sock1","ImageR","ImageL","Whe_hi_the_V_Sock_neut","filler",1
"07","Block2",36,"ball","duck4","ball4","ImageR","ImageL","Whe_lo_the_V_Ball_neut","neutral",1
"07","Block2",37,"duck","duck1","ball1","ImageL","ImageR","Whe_lo_the_V_Duck_neut","neutral",1
"07","Block2",38,"shoe","shoe1","cookie1","ImageL","ImageR","See_hi_the_V_Shoe_neut","filler",1
"07","Block2",39,"book","dog4","book4","ImageR","ImageL","See_hi_the_B_Book_faci","facilitating",1
"07","Block2",40,"dog","dog3","book3","ImageL","ImageR","Fin_lo_the_D_Dog_faci","facilitating",1
"07","Block2",41,"car","cat1","car1","ImageR","ImageL","Whe_lo_the_V_Car_neut","filler",1
"07","Block2",42,"ball","ball3","duck3","ImageL","ImageR","Fin_hi_the_V_Ball_neut","neutral",1
