Subj,Condition,Bin,Time,ToDistractor,ToTarget,elogit,elogit_wt,Proportion
1,filler,19,-100,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
1,filler,20,-50,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
1,filler,21,0,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
1,filler,22,50,15,12,-0.215111379616946,0.144516129032258,0.444444444444444
1,filler,23,100,14,12,-0.148420005118273,0.148965517241379,0.461538461538462
1,filler,24,150,10,14,0.322773392263051,0.164203612479475,0.583333333333333
1,filler,25,200,9,13,0.351397886837889,0.179337231968811,0.590909090909091
1,filler,26,250,9,12,0.27443684570176,0.185263157894737,0.571428571428571
1,filler,27,300,9,12,0.27443684570176,0.185263157894737,0.571428571428571
1,filler,28,350,10,12,0.174353387144778,0.175238095238095,0.545454545454545
1,filler,29,400,12,13,0.0769610411361284,0.154074074074074,0.52
1,filler,30,450,9,17,0.610909082322973,0.162406015037594,0.653846153846154
1,filler,31,500,8,16,0.663294217410264,0.17825311942959,0.666666666666667
1,filler,32,550,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,33,600,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,34,650,4,18,1.41369333530801,0.276276276276276,0.818181818181818
1,filler,35,700,4,21,1.56397553835734,0.268733850129199,0.84
1,filler,36,750,4,19,1.46633706879343,0.273504273504273,0.826086956521739
1,filler,37,800,6,17,0.990398704027877,0.210989010989011,0.739130434782609
1,filler,38,850,6,15,0.86903784702361,0.218362282878412,0.714285714285714
1,filler,39,900,6,15,0.86903784702361,0.218362282878412,0.714285714285714
1,filler,40,950,3,16,1.55059741241117,0.346320346320346,0.842105263157895
1,filler,41,1000,3,18,1.66500776358891,0.33976833976834,0.857142857142857
1,filler,42,1050,5,19,1.26566637333128,0.233100233100233,0.791666666666667
1,filler,43,1100,6,21,1.19625075823203,0.200357781753131,0.777777777777778
1,filler,44,1150,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,45,1200,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,46,1250,6,18,1.04596855518269,0.207900207900208,0.75
1,filler,47,1300,6,19,1.09861228866811,0.205128205128205,0.76
1,filler,48,1350,6,21,1.19625075823203,0.200357781753131,0.777777777777778
1,filler,49,1400,7,16,0.78845736036427,0.193939393939394,0.695652173913043
1,filler,50,1450,9,15,0.489548225318706,0.169779286926995,0.625
1,filler,51,1500,9,15,0.489548225318706,0.169779286926995,0.625
1,filler,52,1550,6,15,0.86903784702361,0.218362282878412,0.714285714285714
1,filler,53,1600,6,14,0.802346472524937,0.222811671087533,0.7
1,filler,54,1650,9,16,0.55206858230004,0.165869218500797,0.64
1,filler,55,1700,9,15,0.489548225318706,0.169779286926995,0.625
1,filler,56,1750,9,15,0.489548225318706,0.169779286926995,0.625
1,filler,57,1800,8,12,0.385662480811985,0.197647058823529,0.6
1,neutral,1,-1000,11,15,0.298492988555997,0.151472650771388,0.576923076923077
1,neutral,2,-950,11,15,0.298492988555997,0.151472650771388,0.576923076923077
1,neutral,3,-900,11,15,0.298492988555997,0.151472650771388,0.576923076923077
1,neutral,4,-850,12,15,0.215111379616945,0.144516129032258,0.555555555555556
1,neutral,5,-800,12,15,0.215111379616945,0.144516129032258,0.555555555555556
1,neutral,6,-750,9,16,0.55206858230004,0.165869218500797,0.64
1,neutral,7,-700,9,17,0.610909082322973,0.162406015037594,0.653846153846154
1,neutral,8,-650,9,18,0.666478933477784,0.159317211948791,0.666666666666667
1,neutral,9,-600,10,18,0.566395474920801,0.149292149292149,0.642857142857143
1,neutral,10,-550,9,19,0.719122666963206,0.156545209176788,0.678571428571429
1,neutral,11,-500,8,15,0.60077386042893,0.182163187855787,0.652173913043478
1,neutral,12,-450,10,12,0.174353387144778,0.175238095238095,0.545454545454545
1,neutral,13,-400,6,12,0.653926467406664,0.233846153846154,0.666666666666667
1,neutral,14,-350,6,15,0.86903784702361,0.218362282878412,0.714285714285714
1,neutral,15,-300,6,17,0.990398704027877,0.210989010989011,0.739130434782609
1,neutral,16,-250,6,20,1.14862270924277,0.202626641651032,0.769230769230769
1,neutral,17,-200,6,21,1.19625075823203,0.200357781753131,0.777777777777778
1,neutral,18,-150,6,20,1.14862270924277,0.202626641651032,0.769230769230769
1,neutral,19,-100,6,18,1.04596855518269,0.207900207900208,0.75
1,neutral,20,-50,3,18,1.66500776358891,0.33976833976834,0.857142857142857
1,neutral,21,0,3,17,1.6094379124341,0.342857142857143,0.85
1,neutral,22,50,3,21,1.81528996663825,0.332225913621262,0.875
1,neutral,23,100,2,22,2.19722457733622,0.444444444444444,0.916666666666667
1,neutral,24,150,0,21,3.76120011569356,2.04651162790698,1
1,neutral,25,200,0,21,3.76120011569356,2.04651162790698,1
1,neutral,26,250,0,22,3.80666248977032,2.04444444444444,1
1,neutral,27,300,0,24,3.89182029811063,2.04081632653061,1
1,neutral,28,350,0,24,3.89182029811063,2.04081632653061,1
1,neutral,29,400,0,26,3.97029191355212,2.0377358490566,1
1,neutral,30,450,1,21,2.66258782702545,0.713178294573643,0.954545454545455
1,neutral,31,500,3,21,1.81528996663825,0.332225913621262,0.875
1,neutral,32,550,3,21,1.81528996663825,0.332225913621262,0.875
1,neutral,33,600,5,18,1.21302263984585,0.235872235872236,0.782608695652174
1,neutral,34,650,6,18,1.04596855518269,0.207900207900208,0.75
1,neutral,35,700,5,17,1.15745278869104,0.238961038961039,0.772727272727273
1,neutral,36,750,4,15,1.23676262714893,0.28673835125448,0.789473684210526
1,neutral,37,800,6,15,0.86903784702361,0.218362282878412,0.714285714285714
1,neutral,38,850,6,18,1.04596855518269,0.207900207900208,0.75
1,neutral,39,900,6,17,0.990398704027877,0.210989010989011,0.739130434782609
1,neutral,40,950,8,15,0.60077386042893,0.182163187855787,0.652173913043478
1,neutral,41,1000,8,15,0.60077386042893,0.182163187855787,0.652173913043478
1,neutral,42,1050,9,15,0.489548225318706,0.169779286926995,0.625
1,neutral,43,1100,10,13,0.251314428280906,0.169312169312169,0.565217391304348
1,neutral,44,1150,9,12,0.27443684570176,0.185263157894737,0.571428571428571
1,neutral,45,1200,11,9,-0.191055236762709,0.192219679633867,0.45
1,neutral,46,1250,13,9,-0.351397886837889,0.179337231968811,0.409090909090909
1,neutral,47,1300,15,9,-0.489548225318706,0.169779286926995,0.375
1,neutral,48,1350,15,9,-0.489548225318706,0.169779286926995,0.375
1,neutral,49,1400,17,9,-0.610909082322973,0.162406015037594,0.346153846153846
1,neutral,50,1450,15,9,-0.489548225318706,0.169779286926995,0.375
1,neutral,51,1500,12,9,-0.27443684570176,0.185263157894737,0.428571428571429
1,neutral,52,1550,12,9,-0.27443684570176,0.185263157894737,0.428571428571429
1,neutral,53,1600,12,9,-0.27443684570176,0.185263157894737,0.428571428571429
1,neutral,54,1650,14,9,-0.422856850820034,0.174228675136116,0.391304347826087
1,neutral,55,1700,15,9,-0.489548225318706,0.169779286926995,0.375
1,neutral,56,1750,15,7,-0.725937003382936,0.197849462365591,0.318181818181818
1,neutral,57,1800,15,6,-0.869037847023609,0.218362282878412,0.285714285714286
2,facilitating,1,-1000,14,17,0.18805223150294,0.126108374384236,0.548387096774194
2,facilitating,2,-950,17,15,-0.121360857004267,0.121658986175115,0.46875
2,facilitating,3,-900,18,15,-0.176930708159078,0.118570183086312,0.454545454545455
2,facilitating,4,-850,16,16,0,0.121212121212121,0.5
2,facilitating,5,-800,15,17,0.121360857004268,0.121658986175115,0.53125
2,facilitating,6,-750,15,15,0,0.129032258064516,0.5
2,facilitating,7,-700,19,12,-0.444685821261446,0.131282051282051,0.387096774193548
2,facilitating,8,-650,15,13,-0.138150338480817,0.138590203106332,0.464285714285714
2,facilitating,9,-600,15,15,0,0.129032258064516,0.5
